"PointID","x","y","z","Density_0","Density_1","Momentum_x","Momentum_y","Momentum_z","Energy","Energy_ve","MassFrac_0","MassFrac_1","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient"
4260, 1.084994297085858e-01, 1.437228985658212e-01, 2.534222476278022e-02, 2.775785393418850e-04, 2.778563956650518e-07, 2.158723603065642e+00, 4.861912219122882e-05, 6.441717994105172e-06, 8.448820952615288e+03, 4.384318604997910e-04, 9.990000000002608e-01, 9.999999997390800e-04, 2.149728011860953e+01, 2.604118991772663e+02, 2.540349960327148e+02, 2.360377398985859e+01, 2.199140536413685e-04
4261, 1.019729240357190e-01, 1.416305234306415e-01, 2.497328257268452e-02, 2.787791021631690e-04, 2.790581602567982e-07, 2.168057863795785e+00, 4.853916609465031e-05, 6.427153998830674e-06, 8.485447250767040e+03, 4.403319025593503e-04, 9.990000000002388e-01, 9.999999997612411e-04, 2.163167365920649e+01, 2.609114286391679e+02, 2.540349960327148e+02, 2.358114064622832e+01, 2.369204213300334e-04
4262, 9.554870094571408e-02, 1.392508753280813e-01, 2.455368640761144e-02, 2.798243796934567e-04, 2.801044841162897e-07, 2.176184653602347e+00, 4.791940591945170e-05, 6.341841835551371e-06, 8.517336326510198e+03, 4.419862181684702e-04, 9.990000000002187e-01, 9.999999997812130e-04, 2.174919215745071e+01, 2.613489599144284e+02, 2.540349960327148e+02, 2.356136849674027e+01, 2.517913949087005e-04
4263, 8.923979086157234e-02, 1.365887809618424e-01, 2.408428734565154e-02, 2.807415210002003e-04, 2.810225434872748e-07, 2.183315101908013e+00, 4.691530554318679e-05, 6.206312613869542e-06, 8.545316373766656e+03, 4.434377630621698e-04, 9.990000000002007e-01, 9.999999997992587e-04, 2.185270167315893e+01, 2.617349289823160e+02, 2.540349960327148e+02, 2.354396667542819e+01, 2.648896500449987e-04
4264, 8.305899031385024e-02, 1.336496399289153e-01, 2.356603748143913e-02, 2.815518028224077e-04, 2.818336364068450e-07, 2.189614666481451e+00, 4.563685635692805e-05, 6.035055433592554e-06, 8.570036455697315e+03, 4.447202027947913e-04, 9.990000000001844e-01, 9.999999998156022e-04, 2.194446511356421e+01, 2.620775876098069e+02, 2.540349960327148e+02, 2.352854902636638e+01, 2.765015385403624e-04
4265, 7.701883598511533e-02, 1.304394137674316e-01, 2.299998799499339e-02, 2.822721313487136e-04, 2.825546859867889e-07, 2.195214814382970e+00, 4.416274032885956e-05, 5.838410841441972e-06, 8.592012313390358e+03, 4.458602883347392e-04, 9.990000000001695e-01, 9.999999998304347e-04, 2.202629273532670e+01, 2.623835476315505e+02, 2.540349960327148e+02, 2.351480753795094e+01, 2.868561330885872e-04
4266, 7.113157928145880e-02, 1.269646138647184e-01, 2.238728701958190e-02, 2.829161063337697e-04, 2.831993055951628e-07, 2.200221298508170e+00, 4.254972326332093e-05, 5.623822842881001e-06, 8.611658825117369e+03, 4.468795394097086e-04, 9.990000000001561e-01, 9.999999998439187e-04, 2.209964973823580e+01, 2.626581696552624e+02, 2.540349960327148e+02, 2.350249349935295e+01, 2.961388423502769e-04
4267, 6.540916148264168e-02, 1.232322882500771e-01, 2.172917731293133e-02, 2.834947891021171e-04, 2.837785676289371e-07, 2.204720130850998e+00, 4.083900252503880e-05, 5.396682735307812e-06, 8.629313433472580e+03, 4.477954594707906e-04, 9.990000000001438e-01, 9.999999998561945e-04, 2.216573455553281e+01, 2.629058458237481e+02, 2.540349960327148e+02, 2.349140387634510e+01, 3.045013179320570e-04
4268, 5.986318952127878e-02, 1.192500072990776e-01, 2.102699373650875e-02, 2.840172659837763e-04, 2.843015675135865e-07, 2.208781964596571e+00, 3.906056881323803e-05, 5.160907592915411e-06, 8.645253332598077e+03, 4.486224270643835e-04, 9.990000000001326e-01, 9.999999998673824e-04, 2.222553672308868e+01, 2.631302088726898e+02, 2.540349960327148e+02, 2.348137129358331e+01, 3.120687772423547e-04
4269, 5.450491244018765e-02, 1.150258483783640e-01, 2.028216054798660e-02, 2.844910677054381e-04, 2.847758435140914e-07, 2.212465355838977e+00, 3.723624812847473e-05, 4.919342915686857e-06, 8.659708261577509e+03, 4.493723593420034e-04, 9.990000000001225e-01, 9.999999998775851e-04, 2.227988025137817e+01, 2.633342889095592e+02, 2.540349960327148e+02, 2.347225655906654e+01, 3.189454918484680e-04
4270, 4.934519857565527e-02, 1.105683794621162e-01, 1.949618851238279e-02, 2.849224855348708e-04, 2.852076931958074e-07, 2.215819222267632e+00, 3.538185142739076e-05, 4.674046733239196e-06, 8.672870148417265e+03, 4.500552122395841e-04, 9.990000000001131e-01, 9.999999998868924e-04, 2.232945652546752e+01, 2.635206324358642e+02, 2.540349960327148e+02, 2.346394301400600e+01, 3.252189506921929e-04
4271, 4.439451351290143e-02, 1.058866417533994e-01, 1.867067183773580e-02, 2.853168121362432e-04, 2.856024145208849e-07, 2.218884716285959e+00, 3.350871146165238e-05, 4.426492543884788e-06, 8.684900457400308e+03, 4.506793615497680e-04, 9.990000000001047e-01, 9.999999998953817e-04, 2.237484951120013e+01, 2.636913936186411e+02, 2.540349960327148e+02, 2.345633221701800e+01, 3.309630497197646e-04
4272, 3.966289885845342e-02, 1.009901313456511e-01, 1.780728494152996e-02, 2.856785265396348e-04, 2.859644910029336e-07, 2.221696663484372e+00, 3.162479265636635e-05, 4.177715921545080e-06, 8.695935831672528e+03, 4.512518955801443e-04, 9.990000000000968e-01, 9.999999999031205e-04, 2.241655520735536e+01, 2.638484047882960e+02, 2.540349960327148e+02, 2.344934062181510e+01, 3.362405533882977e-04
4273, 3.515995187248769e-02, 9.588877996150112e-02, 1.690777905442985e-02, 2.860114367776337e-04, 2.862977344864010e-07, 2.224284671883077e+00, 2.973549953554872e-05, 3.928421581617444e-06, 8.706092444471333e+03, 4.517788408364413e-04, 9.990000000000899e-01, 9.999999999101669e-04, 2.245499670436970e+01, 2.639932310495614e+02, 2.540349960327148e+02, 2.344289701047602e+01, 3.411050002197799e-04
4274, 3.089480600245098e-02, 9.059293480799414e-02, 1.597397866821241e-02, 2.863187895969295e-04, 2.866053949679864e-07, 2.226673985120144e+00, 2.784426966011766e-05, 3.679062480654407e-06, 8.715469345971620e+03, 4.522653356128978e-04, 9.990000000000834e-01, 9.999999999165715e-04, 2.249053579477440e+01, 2.641272123925716e+02, 2.540349960327148e+02, 2.343694051753180e+01, 3.456021720039181e-04
4275, 2.687611235744550e-02, 8.511333758907347e-02, 1.500777783510162e-02, 2.866033535414368e-04, 2.868902437629311e-07, 2.228886128561445e+00, 2.595301073601901e-05, 3.429899134917112e-06, 8.724150997816349e+03, 4.527157614499137e-04, 9.990000000000776e-01, 9.999999999223794e-04, 2.252348176294140e+01, 2.642514955396620e+02, 2.540349960327148e+02, 2.343141913555827e+01, 3.497712060662563e-04
4276, 2.311202216095348e-02, 7.946110271789671e-02, 1.401113632601192e-02, 2.868674791127606e-04, 2.871546337257044e-07, 2.230939377161422e+00, 2.406242381847353e-05, 3.181045197321211e-06, 8.732209108369847e+03, 4.531338383201474e-04, 9.990000000000724e-01, 9.999999999276280e-04, 2.255409771024181e+01, 2.643670567722601e+02, 2.540349960327148e+02, 2.342628863984583e+01, 3.536453956635745e-04
4277, 1.961017021749339e-02, 7.364769477317498e-02, 1.298607565549254e-02, 2.871131371456696e-04, 2.874005376638913e-07, 2.232849053934499e+00, 2.217224245258338e-05, 2.932504136277995e-06, 8.739703803389461e+03, 4.535226853403992e-04, 9.990000000000677e-01, 9.999999999323517e-04, 2.258260449294145e+01, 2.644747159521190e+02, 2.540349960327148e+02, 2.342151191733634e+01, 3.572526882913128e-04
4278, 1.637765942674216e-02, 6.768490524526241e-02, 1.193467498143566e-02, 2.873419333195522e-04, 2.876295628641746e-07, 2.234627642888283e+00, 2.028140930951299e-05, 2.684201578971698e-06, 8.746684068680750e+03, 4.538848437157423e-04, 9.990000000000635e-01, 9.999999999365792e-04, 2.260918198881145e+01, 2.645751405999521e+02, 2.540349960327148e+02, 2.341705874616033e+01, 3.606158459624434e-04
4279, 1.342104637653449e-02, 6.158482861916156e-02, 1.085906688786502e-02, 2.875550916574011e-04, 2.878429345748019e-07, 2.236284660860476e+00, 1.838820621855816e-05, 2.436018860225940e-06, 8.753187246647040e+03, 4.542222505984307e-04, 9.990000000000596e-01, 9.999999999403355e-04, 2.263396682580928e+01, 2.646688366990725e+02, 2.540349960327148e+02, 2.341290617009582e+01, 3.637521577912452e-04
4280, 1.074632804396089e-02, 5.535983784295728e-02, 9.761433059358877e-03, 2.877533903467529e-04, 2.880414317622820e-07, 2.237826158719983e+00, 1.649034970604991e-05, 2.187836704931534e-06, 8.759237078300190e+03, 4.545361374795420e-04, 9.990000000000563e-01, 9.999999999436428e-04, 2.265704459978072e+01, 2.647561187038594e+02, 2.540349960327148e+02, 2.340903979795428e+01, 3.666724552091928e-04
4281, 8.358929631539169e-03, 4.902255923143594e-02, 8.643999855880985e-03, 2.879370129482999e-04, 2.882252381710569e-07, 2.239253564836563e+00, 1.458506168639702e-05, 1.939607084399542e-06, 8.764839163947898e+03, 4.548267946474639e-04, 9.990000000000535e-01, 9.999999999465209e-04, 2.267843224180732e+01, 2.648370422649518e+02, 2.540349960327148e+02, 2.340545675452362e+01, 3.693788807016849e-04
4282, 6.263693563131251e-03, 4.258584685579456e-02, 7.509033796995328e-03, 2.881052300504122e-04, 2.883936236593597e-07, 2.240561210545816e+00, 1.266912293515828e-05, 1.691496138399898e-06, 8.769971251173809e+03, 4.550930672545953e-04, 9.990000000000510e-01, 9.999999999489870e-04, 2.269804058299250e+01, 2.649112618980117e+02, 2.540349960327148e+02, 2.340217195033653e+01, 3.718601506978380e-04
4283, 4.464869661926191e-03, 3.606275647138543e-02, 6.358836964624048e-03, 2.882556993819106e-04, 2.885442436114011e-07, 2.241730889768462e+00, 1.073891174007474e-05, 1.444215371311769e-06, 8.774561882843174e+03, 4.553312474278914e-04, 9.990000000000488e-01, 9.999999999510613e-04, 2.271559230820837e+01, 2.649777194849015e+02, 2.540349960327148e+02, 2.339923182695538e+01, 3.740811733099782e-04
4284, 2.966106530410018e-03, 2.946651903637929e-02, 5.195742333673266e-03, 2.883827878553350e-04, 2.886714593010010e-07, 2.242718815787114e+00, 8.790399849091139e-06, 1.199914436831462e-06, 8.778439206414605e+03, 4.555324181562821e-04, 9.990000000000472e-01, 9.999999999527668e-04, 2.273042553570037e+01, 2.650338990417378e+02, 2.540349960327148e+02, 2.339674726753456e+01, 3.759581929912675e-04
